transactionID,customerID,franchiseID,dateTime,product,quantity,unitPrice,totalPrice,paymentMethod,cardNumber
2002961,1000253,3000047,2024-05-14 12:17:01.495952,Golden Gate Ginger,8,3,24,amex,378154478982993
2003007,1000226,3000047,2024-05-10 23:10:10.239954,Austin Almond Biscotti,36,3,108,mastercard,2244626981238094
2003017,1000108,3000047,2024-05-16 16:34:10.613720,Austin Almond Biscotti,40,3,120,mastercard,2490570234487424
2003068,1000173,3000047,2024-05-02 04:31:51.612094,Pearly Pies,28,3,84,amex,343808569426192
2003103,1000075,3000047,2024-05-04 23:44:26.902224,Pearly Pies,28,3,84,visa,4377080942201798
2003147,1000295,3000047,2024-05-15 16:17:06.259450,Austin Almond Biscotti,32,3,96,amex,371093774812677
2003196,1000237,3000047,2024-05-07 11:13:22.469231,Tokyo Tidbits,40,3,120,mastercard,5538807345848392
2003329,1000272,3000047,2024-05-06 03:32:16.017968,Outback Oatmeal,28,3,84,visa,4872480716880043
2001264,1000209,3000047,2024-05-16 17:32:28.547589,Pearly Pies,28,3,84,mastercard,5287105980593305
2001287,1000120,3000047,2024-05-15 08:41:28.406738,Austin Almond Biscotti,40,3,120,amex,376211012259783
2001335,1000246,3000047,2024-05-15 11:23:27.457630,Golden Gate Ginger,36,3,108,visa,4820866586481966
2001363,1000064,3000047,2024-05-06 14:29:05.562854,Golden Gate Ginger,40,3,120,amex,377167597236886
2001425,1000165,3000047,2024-05-08 15:42:59.281835,Pearly Pies,8,3,24,visa,4396976839795585
2001448,1000270,3000047,2024-05-12 19:15:02.549971,Golden Gate Ginger,24,3,72,visa,4194531844898074
2001475,1000082,3000047,2024-05-16 20:42:25.666478,Outback Oatmeal,40,3,120,visa,4958220510666603
2001493,1000270,3000047,2024-05-06 01:28:53.109703,Tokyo Tidbits,24,3,72,visa,4938040664554206
2001544,1000051,3000047,2024-05-01 16:37:38.133347,Pearly Pies,8,3,24,visa,4906017870499754
2001695,1000059,3000047,2024-05-05 10:49:43.520365,Orchard Oasis,36,3,108,visa,4714694106787061
2001700,1000084,3000047,2024-05-10 15:39:48.140887,Pearly Pies,16,3,48,amex,345342709553150
2001739,1000275,3000047,2024-05-11 04:00:52.101643,Orchard Oasis,24,3,72,visa,4400596746879563
2001921,1000075,3000047,2024-05-14 18:24:01.486489,Pearly Pies,40,3,120,visa,4136664097685632
2001926,1000061,3000047,2024-05-06 23:40:21.971478,Austin Almond Biscotti,36,3,108,amex,371936566637829
2001933,1000004,3000047,2024-05-13 14:15:39.212826,Austin Almond Biscotti,16,3,48,amex,373990517874641
2001960,1000031,3000047,2024-05-02 10:17:42.851706,Outback Oatmeal,20,3,60,visa,4119792413963812
2000032,1000020,3000047,2024-05-12 09:28:27.189396,Tokyo Tidbits,12,3,36,visa,4193044984593712
2000110,1000054,3000047,2024-05-10 12:57:32.696532,Austin Almond Biscotti,12,3,36,amex,374210995172460
2000210,1000084,3000047,2024-05-10 18:23:24.732576,Tokyo Tidbits,4,3,12,amex,349858490487874
2000241,1000139,3000047,2024-05-14 11:52:07.945900,Outback Oatmeal,28,3,84,amex,379418080613653
2000243,1000215,3000047,2024-05-15 20:31:43.412135,Outback Oatmeal,32,3,96,amex,345077120760097
2000295,1000174,3000047,2024-05-06 09:10:28.339902,Outback Oatmeal,12,3,36,visa,4751590407568073
2000299,1000080,3000047,2024-05-05 11:32:48.287542,Austin Almond Biscotti,8,3,24,mastercard,2720851852819714
2000359,1000260,3000047,2024-05-01 11:42:42.342993,Golden Gate Ginger,4,3,12,mastercard,2706418358353982
2000364,1000089,3000047,2024-05-06 12:05:06.468622,Pearly Pies,12,3,36,amex,378005039788206
2000387,1000116,3000047,2024-05-06 21:16:51.627303,Golden Gate Ginger,32,3,96,mastercard,2573670294448256
2000850,1000030,3000047,2024-05-03 19:01:55.993839,Golden Gate Ginger,24,3,72,amex,377961718885518
2000864,1000290,3000047,2024-05-06 20:46:49.240916,Golden Gate Ginger,4,3,12,amex,374259822011664
2000868,1000181,3000047,2024-05-07 01:58:53.938739,Pearly Pies,36,3,108,visa,4785313234942308
2000884,1000297,3000047,2024-05-07 05:35:21.903766,Pearly Pies,28,3,84,mastercard,5590593428535404
2000922,1000057,3000047,2024-05-10 02:51:04.764095,Outback Oatmeal,16,3,48,mastercard,2720543524399643
2000987,1000261,3000047,2024-05-05 14:02:28.756667,Golden Gate Ginger,20,3,60,mastercard,5356140205116349
2001000,1000152,3000047,2024-05-02 12:55:43.803037,Orchard Oasis,20,3,60,amex,344476712784922
2001133,1000032,3000047,2024-05-09 12:15:54.222703,Tokyo Tidbits,36,3,108,amex,345684154885292
2001165,1000206,3000047,2024-05-07 13:43:18.143607,Austin Almond Biscotti,24,3,72,mastercard,5436125534828684
2001197,1000264,3000047,2024-05-08 09:54:13.686892,Orchard Oasis,40,3,120,visa,4566822427659581
2002341,1000007,3000047,2024-05-05 02:26:26.055832,Orchard Oasis,40,3,120,mastercard,2706934717277308
2002345,1000179,3000047,2024-05-06 01:21:03.983449,Austin Almond Biscotti,40,3,120,amex,373949519201575
2002387,1000102,3000047,2024-05-07 08:03:34.255580,Tokyo Tidbits,36,3,108,visa,4639641000636292
2002395,1000172,3000047,2024-05-12 04:08:40.286118,Orchard Oasis,40,3,120,amex,371514666820247
2002580,1000029,3000047,2024-05-04 13:04:26.190162,Golden Gate Ginger,36,3,108,amex,348165387579669
2002628,1000243,3000047,2024-05-10 22:59:58.211919,Outback Oatmeal,32,3,96,mastercard,2720365188966917
2002632,1000038,3000047,2024-05-09 04:35:38.161758,Pearly Pies,28,3,84,visa,4980935709447380
2002637,1000160,3000047,2024-05-14 21:20:15.339134,Tokyo Tidbits,4,3,12,amex,348574259308158
2002714,1000104,3000047,2024-05-06 09:02:42.944805,Golden Gate Ginger,36,3,108,visa,4962084078552439
2002760,1000037,3000047,2024-05-03 08:43:18.829460,Orchard Oasis,12,3,36,amex,342156403154187
2002827,1000045,3000047,2024-05-02 15:14:30.165308,Golden Gate Ginger,36,3,108,mastercard,2667732657691521
2002896,1000262,3000047,2024-05-06 12:58:22.588827,Orchard Oasis,20,3,60,mastercard,2272102709189840
2000477,1000230,3000047,2024-05-03 07:25:47.808927,Tokyo Tidbits,8,3,24,amex,348175805856953
2000580,1000172,3000047,2024-05-13 00:56:10.259085,Austin Almond Biscotti,16,3,48,mastercard,2294068662295870
2000615,1000149,3000047,2024-05-02 12:20:22.889383,Tokyo Tidbits,24,3,72,amex,370318833512773
2000818,1000157,3000047,2024-05-03 04:02:23.812602,Golden Gate Ginger,16,3,48,visa,4889028877090216
2003010,1000173,3000046,2024-05-12 19:09:45.421019,Golden Gate Ginger,36,3,108,amex,341952704286715
2003019,1000229,3000046,2024-05-11 23:32:18.601636,Austin Almond Biscotti,42,3,126,amex,344786409529392
2003194,1000073,3000046,2024-05-05 05:10:36.363977,Outback Oatmeal,54,3,162,visa,4013073725476000
2003201,1000211,3000046,2024-05-03 09:08:32.004253,Tokyo Tidbits,30,3,90,visa,4553461083307238
2003222,1000079,3000046,2024-05-08 10:19:49.723256,Outback Oatmeal,36,3,108,amex,344724568401996
2003230,1000248,3000046,2024-05-04 04:37:49.340315,Orchard Oasis,54,3,162,mastercard,2703868922655135
2003290,1000104,3000046,2024-05-14 03:35:16.710060,Pearly Pies,18,3,54,amex,343548993801103
2001320,1000179,3000046,2024-05-10 01:06:30.569705,Austin Almond Biscotti,60,3,180,mastercard,5125775112585498
2001336,1000112,3000046,2024-05-09 21:28:46.099425,Golden Gate Ginger,36,3,108,mastercard,5306039317369435
2001433,1000112,3000046,2024-05-04 11:19:24.671129,Outback Oatmeal,48,3,144,mastercard,2283035585602436
2001476,1000128,3000046,2024-05-15 14:44:01.852067,Orchard Oasis,36,3,108,amex,342415432985908
2001527,1000202,3000046,2024-05-03 09:59:23.537229,Austin Almond Biscotti,54,3,162,visa,4926399592619711
2001618,1000095,3000046,2024-05-07 09:35:12.270107,Austin Almond Biscotti,48,3,144,visa,4460583694299801
2001642,1000176,3000046,2024-05-11 10:55:05.485783,Pearly Pies,42,3,126,amex,345927914081482
2001757,1000074,3000046,2024-05-17 05:05:50.599188,Outback Oatmeal,36,3,108,visa,4116742726867898
2001763,1000293,3000046,2024-05-07 13:24:01.488719,Tokyo Tidbits,18,3,54,amex,342123549511480
2001783,1000111,3000046,2024-05-14 04:06:11.185447,Pearly Pies,60,3,180,visa,4379661743943312
2001883,1000038,3000046,2024-05-16 13:45:08.684007,Pearly Pies,36,3,108,visa,4908041741524804
2001925,1000006,3000046,2024-05-12 09:44:12.815468,Golden Gate Ginger,54,3,162,mastercard,5521203935742741
2002065,1000067,3000046,2024-05-05 04:17:49.162349,Outback Oatmeal,60,3,180,mastercard,2251188877968458
2000028,1000133,3000046,2024-05-06 17:42:50.020609,Golden Gate Ginger,18,3,54,visa,4290040535079484
2000029,1000165,3000046,2024-05-12 02:50:09.345692,Golden Gate Ginger,12,3,36,visa,4219710538265771
2000040,1000251,3000046,2024-05-02 21:05:43.305296,Tokyo Tidbits,12,3,36,amex,345802351615235
2000044,1000289,3000046,2024-05-14 03:41:43.418118,Outback Oatmeal,60,3,180,visa,4923910526358334
2000062,1000169,3000046,2024-05-11 23:51:00.978742,Golden Gate Ginger,12,3,36,amex,375949715977935
2000119,1000248,3000046,2024-05-01 07:41:49.796159,Orchard Oasis,42,3,126,mastercard,2228558772535539
2000157,1000259,3000046,2024-05-13 09:57:22.242553,Austin Almond Biscotti,12,3,36,mastercard,5157831198491894
2000235,1000134,3000046,2024-05-09 21:56:29.873176,Orchard Oasis,60,3,180,amex,349775955871980
2000260,1000040,3000046,2024-05-06 08:16:06.833611,Orchard Oasis,12,3,36,amex,377532474539845
2000307,1000207,3000046,2024-05-12 17:25:06.726442,Golden Gate Ginger,60,3,180,amex,379066090640099
2000347,1000170,3000046,2024-05-16 14:26:06.501644,Golden Gate Ginger,36,3,108,visa,4419111705439463
2000351,1000062,3000046,2024-05-06 18:13:40.110201,Austin Almond Biscotti,24,3,72,mastercard,2278528934370595
2000369,1000150,3000046,2024-05-02 22:44:53.240812,Austin Almond Biscotti,42,3,126,amex,370396184867905
2000399,1000241,3000046,2024-05-06 15:35:30.080184,Outback Oatmeal,18,3,54,amex,349830748290459
2000843,1000023,3000046,2024-05-03 08:21:19.141966,Austin Almond Biscotti,60,3,180,amex,378435482017193
2000854,1000042,3000046,2024-05-06 10:16:21.969541,Golden Gate Ginger,42,3,126,amex,349488310645459
2000860,1000132,3000046,2024-05-07 12:49:37.628546,Outback Oatmeal,18,3,54,mastercard,2245274512671852
2001024,1000237,3000046,2024-05-12 17:45:42.703274,Golden Gate Ginger,54,3,162,amex,345843459777063
2001065,1000055,3000046,2024-05-04 13:50:14.519929,Orchard Oasis,30,3,90,visa,4658334686262262
2001090,1000057,3000046,2024-05-09 15:59:41.881266,Pearly Pies,42,3,126,amex,378681518766432
2001182,1000099,3000046,2024-05-02 15:03:04.494050,Orchard Oasis,36,3,108,mastercard,2291242624923639
2001194,1000229,3000046,2024-05-05 05:54:12.273258,Golden Gate Ginger,42,3,126,amex,342511414755663
2001202,1000275,3000046,2024-05-04 23:22:18.447947,Tokyo Tidbits,24,3,72,amex,375355841861698
2001211,1000243,3000046,2024-05-01 13:46:42.272485,Golden Gate Ginger,36,3,108,amex,378974831741889
2001228,1000112,3000046,2024-05-10 09:51:38.763745,Austin Almond Biscotti,60,3,180,amex,378494831928253
2001229,1000141,3000046,2024-05-12 23:30:04.431453,Orchard Oasis,30,3,90,mastercard,5375874030416022
2002086,1000223,3000046,2024-05-11 07:50:12.321094,Outback Oatmeal,6,3,18,mastercard,2620077119843237
2002260,1000084,3000046,2024-05-01 17:58:38.870656,Outback Oatmeal,24,3,72,visa,4093859072331720
2002320,1000218,3000046,2024-05-14 13:02:39.300945,Pearly Pies,48,3,144,amex,345524221825519
2002337,1000021,3000046,2024-05-01 02:32:45.013813,Austin Almond Biscotti,30,3,90,amex,343545779513050
2002518,1000249,3000046,2024-05-03 23:15:15.040050,Orchard Oasis,60,3,180,mastercard,2221125445129665
2002618,1000267,3000046,2024-05-01 09:29:48.936161,Pearly Pies,6,3,18,amex,374786900521339
2002722,1000219,3000046,2024-05-01 13:32:19.185397,Tokyo Tidbits,54,3,162,mastercard,2577401569666869
2002734,1000285,3000046,2024-05-07 17:48:53.229528,Orchard Oasis,12,3,36,visa,4215005835745656
2002781,1000199,3000046,2024-05-05 03:52:44.264370,Outback Oatmeal,6,3,18,mastercard,2288351224014874
2002852,1000146,3000046,2024-05-05 01:25:05.755192,Orchard Oasis,30,3,90,visa,4556095264742834
2000442,1000118,3000046,2024-05-13 04:25:25.948631,Golden Gate Ginger,12,3,36,visa,4230896816389154
2000461,1000134,3000046,2024-05-02 12:18:54.772739,Orchard Oasis,54,3,162,mastercard,2720429625647546
2000574,1000000,3000046,2024-05-02 08:56:38.464369,Tokyo Tidbits,36,3,108,visa,4125395481126619
2000616,1000205,3000046,2024-05-06 02:24:13.350868,Golden Gate Ginger,24,3,72,visa,4346017052783718
2000716,1000131,3000046,2024-05-13 18:10:45.011309,Pearly Pies,18,3,54,amex,346412685756405
2000765,1000107,3000046,2024-05-12 15:11:06.352975,Tokyo Tidbits,30,3,90,mastercard,2288910134258226
